county_fips,aor
37133,Atlanta
37043,Atlanta
37113,Atlanta
37175,Atlanta
37049,Atlanta
37137,Atlanta
37177,Atlanta
37053,Atlanta
37131,Atlanta
37075,Atlanta
38077,St Paul
38105,St Paul
38099,St Paul
38067,St Paul
38085,St Paul
39043,Detroit
40065,Dallas
40141,Dallas
40067,Dallas
40023,Dallas
40135,Dallas
40089,Dallas
02130,Seattle
02185,Seattle
02290,Seattle
02220,Seattle
41051,Seattle
41021,Seattle
42133,Philadelphia
42017,Philadelphia
42049,Philadelphia
42127,Philadelphia
42029,Philadelphia
42089,Philadelphia
02100,Seattle
45045,Atlanta
45025,Atlanta
25025,Boston
25021,Boston
25013,Boston
26041,Detroit
26003,Detroit
27167,St Paul
27137,St Paul
27119,St Paul
27073,St Paul
28113,New Orleans
28151,New Orleans
28055,New Orleans
28033,New Orleans
28021,New Orleans
29201,Chicago
29183,Chicago
29013,Chicago
29087,Chicago
29171,Chicago
30053,Salt Lake City
30051,Salt Lake City
30085,Salt Lake City
30075,Salt Lake City
30035,Salt Lake City
30009,Salt Lake City
32033,Salt Lake City
32017,Salt Lake City
35029,El Paso
16043,Salt Lake City
16083,Salt Lake City
16003,Salt Lake City
16069,Salt Lake City
17153,Chicago
17045,Chicago
18147,Chicago
18129,Chicago
19111,St Paul
27145,St Paul
29037,Chicago
29019,Chicago
29159,Chicago
34031,Newark
26163,Detroit
18161,Chicago
18035,Chicago
19063,St Paul
26109,Detroit
19189,St Paul
20013,Chicago
01091,New Orleans
01101,New Orleans
01095,New Orleans
21027,Chicago
40087,Dallas
40125,Dallas
21159,Chicago
55078,Chicago
18139,Chicago
18065,Chicago
18027,Chicago
18071,Chicago
18175,Chicago
19055,St Paul
19165,St Paul
20069,Chicago
20093,Chicago
20165,Chicago
21179,Chicago
21183,Chicago
21107,Chicago
21209,Chicago
21079,Chicago
21025,Chicago
21167,Chicago
21013,Chicago
21187,Chicago
04025,Phoenix
46103,St Paul
46089,St Paul
47167,New Orleans
47055,New Orleans
47065,New Orleans
47155,New Orleans
47059,New Orleans
47147,New Orleans
47009,New Orleans
49043,Salt Lake City
50027,Boston
51185,Washington
51191,Washington
51051,Washington
51131,Washington
